cap-shape,cap-size,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,spore-hue,population,habitat,cals,fat,carbs,protein,label
bell,large,fibrous,yellow,no,fishy,descending,distant,narrow,green,tapering,bulbous,scaly,scaly,cinnamon,buff,partial,orange,one,evanescent,yellow,pink,clustered,waste,low,high,low,medium,1
flat,small,fibrous,white,no,fishy,notched,close,narrow,purple,enlarging,rhizomorphs,fibrous,scaly,pink,gray,universal,orange,one,pendant,white,brown,numerous,paths,high,high,high,high,0
conical,small,scaly,pink,no,foul,descending,crowded,narrow,black,enlarging,rooted,smooth,fibrous,gray,white,partial,yellow,none,zone,brown,white,clustered,woods,medium,high,high,low,2
bell,small,smooth,yellow,no,none,free,distant,broad,red,tapering,rhizomorphs,fibrous,silky,cinnamon,white,partial,white,two,zone,green,buff,solitary,leaves,medium,medium,low,high,3
flat,medium,scaly,buff,no,pungent,attached,close,broad,brown,tapering,bulbous,fibrous,scaly,pink,buff,universal,white,none,none,buff,green,numerous,grasses,medium,medium,medium,medium,2
convex,small,fibrous,pink,bruises,none,attached,crowded,narrow,brown,tapering,missing,silky,smooth,white,brown,partial,brown,two,flaring,chocolate,white,abundant,paths,medium,low,low,low,0
bell,small,smooth,cinnamon,no,none,descending,distant,narrow,gray,tapering,rhizomorphs,scaly,fibrous,red,pink,partial,brown,none,none,white,red,several,paths,medium,medium,high,high,3
flat,small,scaly,yellow,no,spicy,attached,distant,broad,white,enlarging,equal,silky,scaly,cinnamon,gray,partial,orange,one,flaring,green,gray,solitary,waste,high,low,high,high,0
flat,small,scaly,pink,no,pungent,descending,distant,narrow,black,tapering,missing,fibrous,silky,cinnamon,gray,universal,brown,one,pendant,yellow,purple,several,urban,high,high,high,high,2
convex,small,scaly,pink,bruises,pungent,descending,distant,broad,black,enlarging,rhizomorphs,scaly,scaly,buff,orange,partial,yellow,one,evanescent,chocolate,yellow,solitary,leaves,low,medium,medium,medium,2
bell,small,scaly,yellow,bruises,spicy,notched,distant,narrow,yellow,tapering,bulbous,smooth,smooth,orange,white,partial,brown,one,sheathing,white,red,solitary,woods,high,high,medium,low,1
knobbed,small,smooth,green,bruises,foul,descending,distant,narrow,green,tapering,rooted,silky,fibrous,buff,brown,partial,brown,two,sheathing,orange,gray,several,woods,high,medium,high,medium,0
sunken,medium,fibrous,buff,bruises,spicy,descending,distant,narrow,pink,tapering,cup,smooth,smooth,brown,pink,universal,white,two,large,yellow,cinnamon,abundant,meadows,low,high,high,medium,1
knobbed,small,grooves,white,no,creosote,attached,crowded,narrow,gray,tapering,missing,silky,scaly,gray,red,partial,brown,none,large,purple,red,scattered,paths,low,high,medium,medium,3
flat,large,grooves,white,no,fishy,attached,distant,narrow,yellow,enlarging,missing,scaly,silky,orange,buff,partial,yellow,one,none,buff,purple,clustered,grasses,low,high,low,medium,0
knobbed,small,grooves,green,no,almond,notched,close,narrow,green,tapering,bulbous,smooth,scaly,brown,orange,universal,brown,two,none,buff,pink,several,grasses,low,medium,low,medium,3
sunken,medium,fibrous,yellow,bruises,foul,free,distant,broad,pink,tapering,cup,smooth,silky,buff,white,universal,yellow,two,none,black,white,numerous,waste,high,medium,medium,high,3
convex,large,smooth,white,bruises,almond,free,crowded,narrow,purple,enlarging,bulbous,scaly,silky,yellow,yellow,partial,white,none,large,yellow,yellow,abundant,urban,high,high,medium,medium,0
convex,large,fibrous,white,no,pungent,attached,close,broad,green,enlarging,equal,scaly,fibrous,pink,white,universal,yellow,one,none,chocolate,gray,clustered,woods,low,low,medium,low,0
conical,medium,scaly,yellow,no,creosote,notched,distant,broad,buff,enlarging,equal,silky,silky,gray,cinnamon,universal,white,two,pendant,purple,green,numerous,waste,medium,high,medium,high,0
sunken,large,smooth,green,no,none,free,distant,broad,chocolate,tapering,missing,silky,scaly,brown,pink,partial,orange,one,evanescent,green,red,abundant,leaves,high,low,high,medium,3
bell,medium,scaly,buff,no,anise,free,crowded,broad,yellow,enlarging,equal,scaly,silky,gray,yellow,partial,orange,one,evanescent,buff,red,numerous,urban,low,medium,medium,low,0
convex,medium,scaly,pink,no,anise,notched,crowded,narrow,white,enlarging,rhizomorphs,smooth,scaly,red,red,partial,brown,one,none,chocolate,yellow,several,leaves,medium,high,high,high,1
bell,medium,fibrous,pink,no,creosote,free,close,broad,brown,tapering,rhizomorphs,scaly,scaly,white,buff,partial,orange,none,sheathing,green,buff,solitary,urban,high,medium,high,high,2
bell,medium,scaly,white,bruises,anise,descending,crowded,narrow,orange,tapering,rooted,fibrous,scaly,orange,gray,universal,yellow,two,sheathing,yellow,purple,numerous,woods,medium,high,high,high,2
knobbed,large,smooth,brown,no,foul,notched,distant,broad,purple,tapering,cup,silky,smooth,gray,gray,universal,white,two,none,chocolate,cinnamon,numerous,waste,low,low,medium,medium,0
conical,small,grooves,pink,no,spicy,free,crowded,broad,black,tapering,rooted,fibrous,fibrous,brown,orange,partial,orange,two,zone,chocolate,brown,several,urban,medium,low,low,low,0
conical,medium,smooth,brown,no,pungent,attached,distant,broad,red,enlarging,bulbous,fibrous,silky,red,cinnamon,partial,white,one,pendant,chocolate,yellow,numerous,waste,high,medium,medium,medium,0
flat,small,smooth,white,bruises,none,free,distant,narrow,green,enlarging,cup,fibrous,scaly,pink,buff,universal,yellow,one,large,green,green,several,woods,low,low,medium,high,1
convex,small,fibrous,cinnamon,bruises,almond,attached,close,narrow,white,enlarging,rooted,fibrous,silky,red,pink,universal,brown,two,zone,orange,yellow,numerous,woods,low,high,high,high,2
sunken,medium,smooth,brown,no,spicy,attached,close,broad,orange,tapering,rooted,fibrous,silky,yellow,gray,partial,orange,one,large,purple,buff,several,paths,high,medium,low,high,0
knobbed,medium,grooves,brown,no,musty,descending,distant,narrow,pink,enlarging,bulbous,smooth,smooth,gray,gray,universal,yellow,none,zone,brown,purple,clustered,grasses,high,low,high,medium,0
flat,small,grooves,gray,bruises,musty,attached,close,broad,green,enlarging,rhizomorphs,fibrous,scaly,yellow,white,partial,yellow,none,none,white,purple,clustered,paths,medium,high,high,medium,1
knobbed,small,smooth,red,bruises,creosote,free,crowded,narrow,purple,enlarging,equal,scaly,smooth,gray,pink,partial,brown,none,pendant,purple,green,numerous,meadows,high,high,high,medium,1
convex,large,scaly,brown,bruises,foul,descending,crowded,narrow,buff,enlarging,cup,scaly,fibrous,white,red,universal,orange,two,flaring,green,pink,abundant,leaves,high,medium,medium,low,0
sunken,large,fibrous,brown,bruises,spicy,free,close,narrow,brown,enlarging,missing,fibrous,scaly,red,white,universal,brown,none,evanescent,yellow,pink,abundant,woods,medium,medium,medium,low,0
knobbed,small,grooves,brown,bruises,foul,notched,close,narrow,orange,enlarging,cup,fibrous,scaly,red,pink,universal,brown,none,zone,yellow,purple,clustered,paths,medium,high,medium,low,0
flat,small,scaly,green,no,almond,attached,crowded,broad,red,enlarging,equal,scaly,fibrous,orange,white,partial,white,one,sheathing,black,white,solitary,leaves,low,medium,low,medium,3
conical,small,scaly,pink,no,almond,notched,close,narrow,pink,tapering,equal,fibrous,smooth,orange,red,partial,yellow,none,sheathing,chocolate,buff,several,leaves,high,low,high,medium,3
knobbed,large,fibrous,white,no,spicy,notched,close,narrow,white,tapering,rooted,fibrous,fibrous,pink,cinnamon,partial,orange,none,flaring,black,purple,abundant,woods,high,high,medium,medium,2
conical,small,fibrous,brown,no,foul,attached,distant,narrow,yellow,tapering,missing,smooth,scaly,buff,red,universal,yellow,one,evanescent,brown,pink,clustered,waste,medium,high,medium,medium,0
bell,small,smooth,green,bruises,fishy,attached,crowded,broad,yellow,tapering,rhizomorphs,silky,fibrous,red,brown,partial,yellow,two,none,orange,white,numerous,waste,medium,low,medium,medium,1
convex,small,fibrous,gray,bruises,foul,descending,distant,narrow,brown,tapering,club,silky,smooth,cinnamon,buff,partial,yellow,one,evanescent,white,white,several,urban,high,high,medium,medium,1
flat,small,scaly,brown,no,none,notched,crowded,broad,brown,tapering,rooted,fibrous,fibrous,red,brown,universal,brown,two,none,green,red,abundant,leaves,low,high,medium,low,3
flat,medium,smooth,white,no,none,notched,distant,broad,black,tapering,club,fibrous,scaly,red,white,partial,white,one,sheathing,yellow,brown,solitary,paths,low,medium,low,low,2
flat,medium,fibrous,yellow,bruises,spicy,free,crowded,narrow,pink,tapering,equal,fibrous,silky,yellow,pink,universal,brown,two,none,white,purple,abundant,waste,low,low,high,medium,0
flat,medium,fibrous,brown,bruises,musty,descending,distant,broad,yellow,tapering,cup,fibrous,fibrous,yellow,yellow,universal,yellow,two,evanescent,brown,gray,solitary,meadows,low,low,low,low,0
knobbed,medium,smooth,yellow,no,anise,free,distant,narrow,green,tapering,rooted,silky,silky,buff,cinnamon,partial,orange,none,zone,purple,purple,several,woods,low,medium,low,high,2
convex,small,smooth,green,bruises,none,attached,crowded,narrow,brown,enlarging,cup,silky,scaly,white,orange,partial,white,two,zone,buff,white,several,meadows,medium,medium,low,high,2
conical,small,scaly,yellow,bruises,musty,descending,close,broad,pink,tapering,rhizomorphs,fibrous,scaly,white,red,partial,white,none,none,black,purple,clustered,waste,high,medium,medium,high,1
convex,large,smooth,pink,bruises,none,attached,distant,narrow,white,tapering,bulbous,scaly,silky,cinnamon,buff,universal,white,one,large,buff,yellow,solitary,urban,medium,high,low,low,3
flat,medium,fibrous,white,no,fishy,descending,distant,broad,white,enlarging,equal,smooth,scaly,buff,brown,partial,yellow,two,zone,chocolate,brown,clustered,leaves,medium,high,medium,medium,2
flat,small,fibrous,gray,no,pungent,attached,distant,narrow,black,tapering,club,smooth,silky,orange,red,universal,yellow,one,zone,black,gray,several,paths,high,high,low,high,2
convex,large,smooth,red,no,none,notched,close,narrow,yellow,tapering,rooted,scaly,fibrous,cinnamon,pink,partial,brown,two,evanescent,yellow,pink,numerous,grasses,high,low,low,medium,3
sunken,small,fibrous,yellow,no,none,attached,close,narrow,purple,enlarging,rooted,fibrous,scaly,orange,brown,partial,yellow,one,large,buff,cinnamon,several,woods,high,medium,high,medium,2
knobbed,large,smooth,red,bruises,none,notched,distant,broad,pink,tapering,club,smooth,silky,buff,buff,universal,orange,none,none,green,purple,numerous,paths,medium,medium,medium,medium,3
sunken,large,smooth,pink,no,foul,attached,close,narrow,chocolate,enlarging,club,smooth,smooth,cinnamon,orange,partial,yellow,none,sheathing,purple,gray,clustered,leaves,low,medium,medium,high,3
flat,large,grooves,white,bruises,anise,notched,distant,broad,chocolate,tapering,bulbous,silky,fibrous,white,cinnamon,universal,white,two,evanescent,yellow,buff,scattered,leaves,high,high,medium,medium,1
convex,medium,scaly,white,bruises,anise,notched,close,broad,white,enlarging,rhizomorphs,smooth,silky,buff,orange,partial,yellow,two,none,white,red,abundant,urban,medium,low,low,low,1
conical,small,grooves,red,no,foul,descending,crowded,narrow,black,tapering,equal,silky,scaly,gray,buff,partial,brown,none,flaring,yellow,pink,solitary,leaves,low,low,medium,medium,2
knobbed,medium,grooves,red,no,spicy,free,close,narrow,orange,tapering,rhizomorphs,scaly,silky,orange,gray,partial,brown,none,none,chocolate,brown,abundant,woods,medium,low,high,medium,1
convex,small,scaly,gray,no,fishy,notched,crowded,broad,white,enlarging,missing,scaly,fibrous,red,brown,universal,white,two,evanescent,brown,cinnamon,clustered,meadows,medium,high,low,low,2
flat,large,smooth,cinnamon,bruises,fishy,notched,crowded,broad,red,tapering,bulbous,smooth,silky,buff,white,universal,brown,none,none,buff,green,numerous,paths,medium,high,low,high,2
conical,small,smooth,green,no,foul,free,close,narrow,pink,enlarging,missing,fibrous,silky,orange,cinnamon,partial,yellow,one,pendant,green,yellow,scattered,waste,high,medium,high,low,3
sunken,medium,grooves,white,bruises,musty,descending,distant,broad,purple,enlarging,bulbous,smooth,fibrous,yellow,brown,universal,yellow,one,evanescent,buff,brown,clustered,leaves,high,low,low,high,0
flat,large,grooves,gray,no,pungent,free,crowded,narrow,yellow,enlarging,rooted,smooth,silky,gray,yellow,universal,brown,none,evanescent,purple,brown,abundant,leaves,medium,medium,high,high,2
convex,large,scaly,buff,no,anise,notched,distant,narrow,pink,tapering,missing,fibrous,fibrous,red,yellow,partial,brown,one,zone,white,white,clustered,leaves,medium,low,medium,medium,1
bell,small,fibrous,gray,bruises,creosote,free,distant,narrow,yellow,enlarging,missing,silky,smooth,buff,yellow,universal,orange,one,flaring,white,pink,clustered,waste,low,medium,medium,high,0
conical,medium,smooth,white,no,fishy,free,crowded,broad,white,enlarging,rhizomorphs,silky,fibrous,buff,white,universal,white,two,zone,yellow,brown,several,meadows,low,high,medium,low,1
convex,small,grooves,purple,bruises,musty,attached,close,broad,white,tapering,missing,scaly,silky,white,orange,universal,white,one,zone,brown,buff,scattered,waste,low,medium,high,medium,0
sunken,medium,scaly,pink,bruises,foul,attached,close,broad,green,enlarging,cup,fibrous,fibrous,orange,cinnamon,partial,white,two,large,white,purple,several,waste,high,high,medium,low,0
convex,large,scaly,purple,no,spicy,free,close,broad,pink,enlarging,equal,scaly,scaly,buff,gray,universal,white,none,none,black,buff,clustered,paths,medium,high,low,low,3
convex,large,smooth,cinnamon,no,pungent,descending,crowded,narrow,green,tapering,rooted,fibrous,fibrous,cinnamon,buff,partial,orange,two,sheathing,chocolate,brown,solitary,meadows,low,high,high,high,2
flat,small,grooves,buff,no,anise,notched,distant,broad,purple,enlarging,rhizomorphs,smooth,smooth,red,brown,universal,yellow,two,none,green,cinnamon,abundant,woods,low,high,medium,high,1
flat,small,fibrous,pink,no,spicy,descending,crowded,narrow,orange,tapering,rhizomorphs,silky,fibrous,white,buff,partial,orange,two,none,yellow,green,scattered,urban,medium,low,medium,medium,1
bell,small,scaly,gray,bruises,spicy,descending,close,narrow,pink,tapering,club,silky,smooth,buff,orange,universal,brown,two,flaring,white,red,solitary,leaves,low,high,medium,medium,3
convex,medium,scaly,green,bruises,pungent,attached,close,narrow,gray,tapering,missing,smooth,fibrous,red,red,partial,orange,one,flaring,purple,yellow,abundant,leaves,low,medium,medium,low,3
sunken,small,smooth,gray,bruises,none,attached,close,broad,purple,tapering,club,scaly,smooth,yellow,pink,partial,yellow,one,none,orange,purple,clustered,grasses,high,high,medium,high,3
knobbed,small,fibrous,cinnamon,bruises,spicy,attached,distant,broad,black,tapering,club,scaly,smooth,white,cinnamon,partial,yellow,two,flaring,black,white,solitary,grasses,high,high,high,medium,3
convex,small,smooth,yellow,no,almond,attached,crowded,narrow,brown,enlarging,cup,fibrous,scaly,pink,brown,partial,yellow,one,pendant,yellow,red,abundant,meadows,low,medium,low,medium,2
convex,large,scaly,red,no,almond,attached,distant,broad,pink,tapering,equal,scaly,scaly,cinnamon,buff,partial,orange,none,pendant,yellow,purple,scattered,waste,high,low,medium,low,1
flat,medium,grooves,green,bruises,pungent,free,distant,narrow,purple,enlarging,bulbous,scaly,scaly,cinnamon,cinnamon,partial,orange,one,pendant,yellow,buff,scattered,meadows,low,medium,low,low,1
conical,small,fibrous,yellow,no,none,notched,distant,broad,black,tapering,bulbous,scaly,silky,yellow,yellow,universal,white,one,none,black,red,solitary,waste,medium,high,low,high,3
bell,medium,fibrous,white,bruises,anise,free,distant,narrow,brown,enlarging,bulbous,fibrous,silky,white,brown,partial,white,two,large,orange,yellow,abundant,grasses,low,high,high,high,0
flat,medium,smooth,white,no,anise,free,close,narrow,red,enlarging,rooted,silky,scaly,gray,cinnamon,partial,yellow,two,pendant,yellow,gray,scattered,woods,low,high,low,low,2
flat,medium,fibrous,gray,bruises,fishy,notched,close,broad,green,tapering,club,silky,scaly,white,brown,universal,brown,one,large,purple,cinnamon,solitary,meadows,medium,high,high,medium,2
sunken,medium,smooth,red,bruises,foul,free,crowded,broad,gray,enlarging,bulbous,smooth,scaly,white,white,partial,white,two,evanescent,green,gray,solitary,meadows,medium,medium,high,high,1
bell,medium,scaly,cinnamon,bruises,pungent,notched,distant,narrow,purple,enlarging,bulbous,smooth,smooth,white,yellow,universal,white,two,none,yellow,purple,several,urban,high,medium,low,high,1
bell,medium,scaly,buff,no,creosote,notched,crowded,narrow,pink,tapering,bulbous,fibrous,scaly,pink,pink,partial,white,one,zone,orange,green,clustered,urban,medium,high,high,medium,0
sunken,medium,grooves,buff,bruises,pungent,notched,close,narrow,green,tapering,rooted,fibrous,smooth,buff,white,universal,brown,two,zone,black,brown,clustered,woods,low,medium,high,high,2
bell,small,grooves,gray,no,musty,free,close,narrow,gray,enlarging,rooted,scaly,smooth,white,orange,universal,white,two,flaring,chocolate,brown,scattered,woods,low,medium,low,medium,2
flat,small,grooves,red,bruises,fishy,attached,close,narrow,pink,tapering,cup,silky,smooth,brown,buff,partial,yellow,none,none,orange,white,scattered,leaves,high,low,high,high,2
knobbed,large,smooth,yellow,no,none,free,close,broad,chocolate,tapering,club,silky,silky,white,pink,partial,yellow,one,large,white,green,abundant,urban,high,high,high,high,0
bell,medium,smooth,white,no,foul,attached,close,narrow,black,enlarging,club,smooth,fibrous,cinnamon,pink,partial,yellow,two,none,black,white,clustered,grasses,low,high,low,high,0
sunken,medium,smooth,cinnamon,no,musty,descending,close,narrow,yellow,tapering,rooted,smooth,silky,yellow,red,partial,orange,two,none,black,buff,numerous,paths,low,low,high,low,0
convex,small,grooves,green,bruises,pungent,notched,crowded,narrow,gray,tapering,rooted,fibrous,smooth,gray,brown,universal,white,two,flaring,buff,buff,numerous,meadows,low,medium,medium,low,2
bell,small,grooves,buff,no,foul,free,distant,broad,buff,enlarging,equal,scaly,smooth,orange,yellow,partial,white,one,sheathing,green,brown,numerous,waste,high,high,high,low,0
flat,medium,smooth,purple,bruises,spicy,free,crowded,narrow,red,tapering,equal,smooth,scaly,white,yellow,partial,yellow,one,large,brown,gray,solitary,leaves,medium,medium,low,low,3
conical,small,grooves,pink,bruises,fishy,notched,close,broad,orange,enlarging,rhizomorphs,silky,smooth,buff,brown,universal,white,none,none,white,purple,several,leaves,high,low,high,low,1
conical,small,fibrous,white,no,spicy,descending,distant,broad,pink,enlarging,cup,scaly,fibrous,pink,white,partial,yellow,none,sheathing,green,brown,abundant,urban,high,low,medium,medium,0
convex,medium,scaly,brown,bruises,none,attached,distant,narrow,purple,enlarging,missing,scaly,fibrous,gray,orange,partial,brown,two,large,orange,green,abundant,meadows,low,low,low,medium,0
knobbed,medium,grooves,yellow,no,anise,free,close,broad,brown,tapering,club,silky,fibrous,cinnamon,pink,partial,brown,one,large,yellow,brown,scattered,urban,high,medium,high,medium,0
bell,small,scaly,red,bruises,spicy,free,close,broad,green,tapering,rhizomorphs,silky,silky,red,red,partial,orange,one,none,white,brown,solitary,leaves,medium,medium,low,low,1
sunken,small,fibrous,buff,no,none,descending,close,narrow,green,tapering,club,silky,smooth,orange,yellow,universal,orange,one,none,buff,pink,clustered,grasses,low,low,high,medium,3
sunken,medium,grooves,purple,no,pungent,notched,distant,narrow,brown,tapering,rhizomorphs,silky,scaly,pink,yellow,universal,brown,none,pendant,buff,pink,several,woods,medium,low,medium,low,2
convex,medium,fibrous,gray,bruises,fishy,attached,crowded,broad,white,enlarging,rooted,scaly,scaly,red,cinnamon,universal,brown,one,evanescent,purple,gray,solitary,woods,low,high,medium,high,2
convex,medium,scaly,brown,bruises,none,notched,close,narrow,orange,enlarging,missing,smooth,silky,white,white,universal,yellow,one,none,black,pink,clustered,grasses,medium,low,low,medium,0
knobbed,medium,scaly,pink,no,fishy,attached,crowded,broad,black,tapering,cup,smooth,scaly,buff,cinnamon,partial,white,one,flaring,chocolate,brown,abundant,meadows,high,high,high,low,2
sunken,large,fibrous,yellow,no,none,free,distant,broad,green,tapering,equal,silky,scaly,pink,brown,partial,yellow,two,flaring,brown,buff,clustered,woods,medium,medium,high,high,1
sunken,small,scaly,white,bruises,foul,notched,close,broad,red,enlarging,rooted,silky,silky,yellow,pink,partial,orange,none,zone,brown,brown,solitary,waste,high,medium,medium,low,3
conical,small,smooth,brown,no,fishy,descending,distant,narrow,buff,tapering,club,fibrous,silky,cinnamon,gray,universal,orange,two,pendant,buff,white,solitary,urban,high,low,low,low,3
convex,medium,fibrous,yellow,no,none,attached,distant,broad,brown,enlarging,rhizomorphs,scaly,fibrous,yellow,gray,universal,brown,none,zone,yellow,yellow,solitary,urban,medium,high,high,high,1
bell,medium,fibrous,red,no,foul,notched,distant,narrow,red,tapering,rhizomorphs,silky,smooth,orange,gray,universal,orange,none,sheathing,yellow,purple,clustered,paths,low,low,medium,medium,1
bell,large,smooth,yellow,bruises,anise,attached,crowded,broad,orange,enlarging,rooted,silky,smooth,buff,white,universal,yellow,two,none,orange,white,clustered,leaves,medium,medium,high,high,3
conical,small,grooves,green,no,none,notched,distant,narrow,pink,enlarging,cup,scaly,smooth,white,cinnamon,universal,brown,none,none,black,pink,numerous,grasses,medium,high,medium,high,3
bell,large,scaly,brown,no,almond,notched,distant,broad,red,enlarging,bulbous,smooth,scaly,pink,brown,partial,brown,none,sheathing,green,gray,abundant,waste,low,high,medium,medium,0
sunken,medium,fibrous,gray,no,foul,notched,distant,broad,gray,enlarging,rhizomorphs,fibrous,smooth,white,gray,partial,brown,two,sheathing,black,red,several,urban,low,high,low,medium,0
flat,medium,smooth,gray,bruises,musty,free,crowded,broad,yellow,tapering,rooted,scaly,fibrous,orange,orange,universal,brown,one,zone,buff,cinnamon,scattered,woods,medium,medium,high,medium,2
sunken,medium,grooves,pink,no,foul,descending,crowded,narrow,pink,enlarging,bulbous,silky,scaly,buff,orange,universal,orange,two,none,chocolate,yellow,scattered,meadows,medium,high,medium,medium,3
conical,large,fibrous,white,no,spicy,notched,crowded,broad,orange,enlarging,rhizomorphs,scaly,scaly,white,red,universal,yellow,one,large,yellow,green,clustered,meadows,high,low,low,medium,0
convex,large,smooth,brown,bruises,fishy,notched,close,broad,chocolate,enlarging,rhizomorphs,fibrous,silky,gray,yellow,universal,yellow,none,none,orange,gray,clustered,meadows,medium,medium,high,medium,1
flat,large,scaly,cinnamon,no,foul,free,distant,narrow,brown,enlarging,rhizomorphs,scaly,fibrous,brown,cinnamon,universal,white,two,none,purple,red,solitary,urban,low,medium,high,low,1
knobbed,medium,scaly,green,bruises,none,attached,close,narrow,brown,tapering,cup,scaly,scaly,pink,red,universal,yellow,two,evanescent,yellow,yellow,clustered,waste,medium,medium,medium,high,2
bell,large,smooth,brown,bruises,spicy,notched,close,broad,pink,tapering,rhizomorphs,fibrous,silky,brown,brown,universal,orange,one,none,white,gray,numerous,paths,medium,medium,low,medium,1
convex,large,grooves,pink,bruises,none,attached,distant,narrow,buff,enlarging,rooted,fibrous,fibrous,brown,orange,universal,orange,one,evanescent,yellow,cinnamon,abundant,meadows,low,low,medium,low,1
flat,small,scaly,brown,no,pungent,attached,crowded,narrow,green,enlarging,rhizomorphs,silky,smooth,yellow,white,universal,brown,none,sheathing,white,pink,clustered,woods,high,low,low,medium,2
sunken,small,fibrous,buff,bruises,foul,descending,crowded,narrow,pink,enlarging,rooted,silky,smooth,yellow,brown,universal,orange,one,none,purple,cinnamon,solitary,woods,low,high,high,low,3
flat,medium,fibrous,green,no,creosote,free,crowded,narrow,black,enlarging,rooted,scaly,silky,cinnamon,brown,universal,white,none,sheathing,brown,buff,clustered,woods,medium,medium,medium,low,2
